"Team", "M", "W", "D", "L", "G", "GA", "PTS", "xG", "NPxG", "xGA", "NPxGA", "NPxGD", "PPDA", "OPPDA", "DC", "ODC", "xPTS"
"AC Milan", 38, 19, 9, 10, 63, 46, 66, 65.27, 58.42, 46.42, 38.54, 19.87, 8.47, 11.78, 323, 182, 65.47
"Napoli", 38, 18, 8, 12, 61, 50, 62, 63.88, 60.07, 43.17, 37.08, 22.99, 11.15, 15.31, 310, 174, 66.49
"Sassuolo", 38, 14, 9, 15, 69, 63, 51, 53.42, 48.85, 65.07, 58.22, -9.37, 9.5, 11.59, 279, 254, 46.17
"Fiorentina", 38, 12, 13, 13, 51, 48, 49, 53.49, 45.12, 50.3, 41.92, 3.2, 11.59, 8.6, 229, 189, 54.92
"Parma Calcio 1913", 38, 14, 7, 17, 56, 57, 49, 47.12, 42.56, 64.13, 56.51, -13.96, 11.84, 8.48, 202, 304, 41.83
"Verona", 38, 12, 13, 13, 47, 51, 49, 52.49, 45.58, 53.95, 47.1, -1.52, 8.94, 10.02, 248, 295, 50.26
"Bologna", 38, 12, 11, 15, 52, 65, 47, 57.41, 52.85, 54.87, 48.7, 4.15, 7.73, 9.53, 222, 280, 52.97
"Cagliari", 38, 11, 12, 15, 52, 56, 45, 41.92, 37.24, 60.98, 54.13, -16.89, 12.8, 8.86, 166, 305, 40.05
"Udinese", 38, 12, 9, 17, 37, 51, 45, 43.69, 43.69, 52.54, 44.76, -1.07, 14.5, 9.79, 212, 273, 49.32
"Sampdoria", 38, 12, 6, 20, 48, 65, 42, 48.92, 40.46, 56.21, 49.36, -8.91, 12.02, 9.26, 205, 232, 49.71
"Torino", 38, 11, 7, 20, 46, 68, 40, 43.49, 37.4, 63.49, 55.12, -17.72, 8.61, 7.92, 178, 258, 39.04
"Genoa", 38, 10, 9, 19, 47, 73, 39, 49.89, 37.54, 59.51, 52.66, -15.11, 10.38, 10.16, 215, 308, 46.12
"Lecce", 38, 9, 8, 21, 52, 85, 35, 53.47, 41.87, 91.97, 82.08, -40.21, 14.35, 9.65, 217, 362, 34.92
"Brescia", 38, 6, 7, 25, 35, 79, 25, 43.25, 40.2, 78.38, 70.01, -29.8, 13.82, 6.9, 190, 375, 33.14
"SPAL 2013", 38, 5, 5, 28, 27, 77, 20, 39.07, 33.74, 71.97, 65.88, -32.14, 11.72, 9.7, 180, 300, 30.49
"Juventus", 38, 28, 6, 4, 70, 30, 90, 64.53, 58.44, 35.03, 31.99, 26.45, 9.77, 13.03, 290, 158, 70.93
 "Napoli", 38, 24, 7, 7, 74, 36, 79, 68.24, 65.19, 36.5, 33.46, 31.74, 10.38, 16.17, 344, 181, 74.45
 "Atalanta", 38, 20, 9, 9, 77, 46, 69, 74.43, 71.38, 41.85, 38.04, 33.34, 8.56, 12.62, 367, 164, 71.88
 "Inter", 38, 20, 9, 9, 57, 33, 69, 66.47, 59.62, 38.4, 34.59, 25.03, 8.93, 15.44, 311, 192, 71.75
 "AC Milan", 38, 19, 11, 8, 55, 36, 68, 52.16, 49.12, 41.7, 37.9, 11.22, 11.17, 12.41, 255, 194, 60.11
